pT_L	pT_H	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	2.44E+00	0.06	0.22	0.09
1.5	2	4.73E-01	0.009	0.04	0.02
2	2.5	9.72E-02	0.003	0.009	0.004
2.5	3	2.19E-02	8.00E-04	0.002	0.001
3	3.5	5.75E-03	2.70E-04	5.00E-04	2.70E-04
3.5	4	1.89E-03	6.00E-05	1.90E-04	9.00E-05
4	4.5	6.47E-04	2.50E-05	6.00E-05	3.50E-05
4.5	5	2.84E-04	1.30E-05	2.60E-05	1.60E-05
5	5.5	1.22E-04	7.00E-06	1.10E-05	7.00E-06
5.5	6	4.67E-05	3.80E-06	5.00E-06	2.60E-06
6	6.5	2.51E-05	2.30E-06	2.60E-06	1.50E-06
6.5	7	1.04E-05	1.50E-06	1.30E-06	5.00E-07
7	7.5	7.09E-06	1.19E-06	1.00E-06	3.20E-07
7.5	8	5.48E-06	9.10E-07	7.00E-07	2.70E-07
8	8.5	3.54E-06	6.10E-07	8.00E-07	1.80E-07
8.5	9	1.68E-06	4.10E-07	5.00E-07	8.00E-08
9	9.5	1.52E-06	3.90E-07	4.00E-07	8.00E-08
9.5	10	7.40E-07	2.60E-07	2.70E-07	4.00E-08
