# pT Npi0 eNpi0_stat eNpi0_ccuncorr eNpi0_pTcorr.
1.25 2.44E+00 0.06 0.22 0.09
1.75 4.73E-01 0.009 0.04 0.020
2.25 9.72E-02 0.003 0.009 0.004
2.75 2.19E-02 8e-4 0.0020 0.0010
3.25 5.75E-03 2.7e-4 5e-4 2.7e-4
3.75 1.89E-03 6e-5 1.9e-4 9e-5
4.25 6.47E-04 2.5e-5 6e-5 3.5e-5
4.75 2.84E-04 1.3e-5 2.6e-5 1.6e-5
5.25 1.22E-04 7e-6 1.1e-5 7e-6
5.75 4.67E-05 3.8e-6 5e-6 2.6e-6
6.25 2.51E-05 2.3e-6 2.6e-6 1.5e-6
6.75 1.04E-05 1.5e-6 1.3e-6 5e-7
7.25 7.09E-06 1.19e-6 1.0e-6 3.2e-7
7.75 5.48E-06 9.1e-7 7e-7 2.7e-7
8.25 3.54E-06 6.1e-7 8e-7 1.8e-7
8.75 1.68E-06 4.1e-7 5e-7 8e-8
9.25 1.52E-06 3.9e-7 4e-7 8e-8
9.75 7.40E-07 2.6e-7 2.7e-7 4e-8
