pT_low	pT_high	Npi0	eNpi0_stat	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	1.86E+00	4.14E-02	1.63E-01	7.14E-02
1.5	2	3.43E-01	7.02E-03	3.02E-02	1.43E-02
2	2.5	7.33E-02	1.74E-03	6.44E-03	3.25E-03
2.5	3	1.73E-02	5.60E-04	1.53E-03	8.00E-04
3	3.5	4.55E-03	1.97E-04	4.05E-04	2.16E-04
3.5	4	1.55E-03	4.26E-05	1.40E-04	7.81E-05
4	4.5	5.56E-04	1.85E-05	5.22E-05	2.88E-05
4.5	5	2.09E-04	1.03E-05	1.91E-05	1.10E-05
5	5.5	9.87E-05	5.23E-06	9.25E-06	5.46E-06
5.5	6	3.70E-05	3.29E-06	3.72E-06	1.96E-06
6	6.5	2.03E-05	2.01E-06	2.17E-06	1.09E-06
6.5	7	1.10E-05	1.60E-06	1.35E-06	4.89E-07
7	7.5	6.65E-06	9.69E-07	8.36E-07	3.52E-07
7.5	8	4.23E-06	8.15E-07	6.09E-07	1.69E-07
8	8.5	2.12E-06	4.68E-07	5.43E-07	1.06E-07
8.5	9	1.98E-06	4.58E-07	5.25E-07	9.91E-08
