# pT_low pT_high Npi0 eNpi0_stat eNpi0_ccuncorr eNpi0_pTcorr.
1 1.5 1.290 0.029 0.11 0.05
1.5 2 0.257 0.005 0.023 0.011
2 2.5 0.0516 0.0012 0.005 0.0023
2.5 3 0.0125 4e-4 0.0011 6e-4
3 3.5 0.00354 1.5e-4 3.2e-4 1.7e-4
3.5 4 0.001130 3.3e-5 1.1e-4 6e-5
4 4.5 4.27e-4 1.5e-5 4e-5 2.2e-5
4.5 5 1.72e-4 8e-6 1.6e-5 9e-6
5 5.5 7.8e-5 5e-6 7e-6 4e-6
5.5 6 3.41e-5 2.8e-6 3.4e-6 1.8e-6
6 6.5 1.43e-5 1.9e-6 1.7e-6 7e-7
6.5 7 9.6e-6 1.2e-6 1.1e-6 5e-7
7 7.5 4.63e-6 8e-7 6e-7 2.6e-7
7.5 8 3.02e-6 6e-7 5e-7 1.7e-7
8 8.5 1.62e-6 4e-7 5e-7 8e-8
