pT_low	pT_high	Npi0	eNpi0_sys	eNpi0_ccuncorr	eNpi0_pTcorr.
1	1.5	3.01E-01	3.09E-02	2.69E-02	1.15E-02
1.5	2	5.53E-02	5.68E-03	4.87E-03	2.27E-03
2	2.5	1.19E-02	1.24E-03	1.05E-03	5.18E-04
2.5	3	2.97E-03	3.16E-04	2.68E-04	1.34E-04
3	3.5	9.21E-04	9.81E-05	8.19E-05	4.31E-05
3.5	4	3.20E-04	3.47E-05	2.88E-05	1.57E-05
4	4.5	1.14E-04	1.26E-05	1.06E-05	5.68E-06
4.5	5	4.79E-05	5.32E-06	4.63E-06	2.36E-06
5	5.5	1.94E-05	2.18E-06	2.06E-06	9.43E-07
5.5	6	1.09E-05	1.25E-06	1.35E-06	4.31E-07
6	6.5	4.27E-06	5.05E-07	6.40E-07	2.21E-07
6.5	7	2.98E-06	4.84E-07	7.72E-07	1.49E-07
7	7.5	8.63E-07	1.42E-07	3.45E-07	4.31E-08
7.5	8	6.87E-07	1.15E-07	2.94E-07	3.43E-08
