pT	pT_low	pT_high	eR_AA	eNorm
1.25	1	1.5	0.049	0.06
1.75	1.5	2	0.055	0.069
2.25	2	2.5	0.057	0.069
2.75	2.5	3	0.051	0.059
3.25	3	3.5	0.049	0.055               # eNorm on this line is fabriacted -> original error in data was '0'.             
3.75	3.5	4	0.052	0.052
4.25	4	4.5	0.048	0.05
4.75	4.5	5	0.051	0.051
5.25	5	5.5	0.049	0.052
5.75	5.5	6	0.044	0.047
6.25	6	6.5	0.055	0.041
6.75	6.5	7	0.052	0.047
7.25	7	7.5	0.065	0.041
7.75	7.5	8	0.097	0.045
8.25	8	8.5	0.076	0.058
8.75	8.5	9	0.123	0.039
9.25	9	9.5	0.13	0.056
9.75	9.5	10	0.185	0.053
11.25	11	11.5	0.163	0.136
