pT_low	pT_high	v2	err_v2	syslow
0.247	0.348	0.02532	0.00025	0.01862
0.348	0.448	0.04002	0.00029	0.00345
0.448	0.548	0.05165	0.00032	0.00238
0.548	0.648	0.06296	0.00036	0.00206
0.648	0.748	0.07433	0.00041	0.0018
0.748	0.848	0.08377	0.00046	0.00167
0.848	0.948	0.09429	0.00052	0.00183
0.948	1.092	0.10365	0.00059	0.00155
1.092	1.292	0.11617	0.00053	0.00162
1.292	1.492	0.13006	0.00066	0.00165
1.492	1.692	0.14367	0.00086	0.00203
1.692	1.892	0.15763	0.00115	0.00213
1.892	2.2	0.17281	0.00151	0.0024
2.2	2.703	0.18031	0.00149	0.00244
2.703	3.343	0.18983	0.00263	0.00251
3.343	4.381	0.18147	0.00393	0.00266
4.381	5.41	0.16102	0.01018	0.00367
5.41	6.852	0.14043	0.02402	0.00637
6.852	7.573	0.1231	0.04849	0.01532
