# pT_low pT_high v2 err_v2 syslow
0.247 0.348 0.02532 2.5e-4 0.019
0.348 0.448 0.04002 2.9e-4 0.0035
0.448 0.548 0.05165 3.2e-4 0.0024
0.548 0.648 0.0630 4e-4 0.0021
0.648 0.748 0.0743 4e-4 0.0018
0.748 0.848 0.0838 5e-4 0.0017
0.848 0.948 0.0943 5e-4 0.0018
0.948 1.092 0.1037 6e-4 0.0016
1.092 1.292 0.1162 5e-4 0.0016
1.292 1.492 0.1301 7e-4 0.0017
1.492 1.692 0.1437 9e-4 0.0020
1.692 1.892 0.1576 0.0012 0.0021
1.892 2.2 0.1728 0.0015 0.0024
2.2 2.703 0.1803 0.0015 0.0024
2.703 3.343 0.1898 0.0026 0.0025
3.343 4.381 0.1815 0.004 0.0027
4.381 5.41 0.161 0.010 0.004
5.41 6.852 0.140 0.024 0.006
6.852 7.573 0.123 0.05 0.015
