pT_low	pT_high	v2	err_v2	syslow
0.247	0.348	0.02486	0.00009	0.01829
0.348	0.448	0.04133	0.0001	0.00356
0.448	0.548	0.05407	0.00012	0.00248
0.548	0.648	0.06625	0.00013	0.00216
0.648	0.748	0.07751	0.00015	0.00185
0.748	0.848	0.08828	0.00017	0.0017
0.848	0.948	0.09798	0.00019	0.00182
0.948	1.092	0.10799	0.00021	0.00148
1.092	1.292	0.12038	0.0002	0.00145
1.292	1.492	0.13713	0.00025	0.00137
1.492	1.692	0.15261	0.00031	0.00172
1.692	1.892	0.16688	0.0004	0.00162
1.892	2.2	0.17885	0.00052	0.00167
2.2	2.703	0.19049	0.00052	0.00156
2.703	3.343	0.20132	0.00092	0.00138
3.343	4.381	0.19905	0.00138	0.00199
4.381	5.41	0.17363	0.0036	0.00359
5.41	6.852	0.14382	0.00849	0.00641
6.852	7.573	0.15738	0.01713	0.01955
