# pT_low pT_high v2 err_v2 syslow
0.247 0.348 0.02569 9e-5 0.019
0.348 0.448 0.04271 9e-5 0.004
0.448 0.548 0.05587 1.0e-4 0.0026
0.548 0.648 0.06846 1.1e-4 0.0022
0.648 0.748 0.08009 1.3e-4 0.0019
0.748 0.848 0.09123 1.4e-4 0.0018
0.848 0.948 0.10124 1.6e-4 0.0019
0.948 1.092 0.11159 1.8e-4 0.0015
1.092 1.292 0.12439 1.6e-4 0.0015
1.292 1.492 0.14170 2.0e-4 0.0014
1.492 1.692 0.15770 2.7e-4 0.0018
1.692 1.892 0.1724 4e-4 0.0017
1.892 2.2 0.1848 5e-4 0.0017
2.2 2.703 0.1968 5e-4 0.0016
2.703 3.343 0.2080 9e-4 0.0014
3.343 4.381 0.2057 0.0014 0.0021
4.381 5.41 0.179 0.004 0.004
5.41 6.852 0.149 0.009 0.007
6.852 7.573 0.163 0.018 0.020
