Cent 0-5%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 2.260e-01 2.454e-02 2.454e-02 3.051e-02 2.757e-02
6.50 1.977e-01 2.638e-02 2.638e-02 2.670e-02 2.413e-02
7.50 2.016e-01 3.137e-02 3.137e-02 2.721e-02 2.459e-02
8.50 2.187e-01 3.965e-02 3.965e-02 2.952e-02 2.668e-02
9.50 2.681e-01 5.522e-02 5.522e-02 3.619e-02 3.271e-02
11.00 2.631e-01 4.627e-02 4.627e-02 3.552e-02 3.210e-02
13.00 3.392e-01 9.808e-02 9.808e-02 4.580e-02 4.139e-02
15.00 2.707e-01 1.478e-01 1.478e-01 3.654e-02 3.302e-02
17.00 1.997e-01 1.848e-01 1.848e-01 2.696e-02 2.437e-02

Cent 0-10%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 1.957e-01 1.706e-02 1.706e-02 2.642e-02 2.387e-02
6.50 1.636e-01 1.883e-02 1.883e-02 2.209e-02 1.996e-02
7.50 2.140e-01 2.381e-02 2.381e-02 2.889e-02 2.610e-02
8.50 2.495e-01 3.059e-02 3.059e-02 3.368e-02 3.044e-02
9.50 2.371e-01 4.129e-02 4.129e-02 3.200e-02 2.892e-02
11.00 2.356e-01 4.136e-02 4.136e-02 3.180e-02 2.874e-02
13.00 3.643e-01 6.668e-02 6.668e-02 4.918e-02 4.444e-02
15.00 1.507e-01 9.410e-02 9.410e-02 2.034e-02 1.838e-02
17.00 1.700e-01 1.441e-01 1.441e-01 2.295e-02 2.074e-02

Cent 10-20%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 2.842e-01 2.146e-02 2.146e-02 3.836e-02 3.467e-02
6.50 2.355e-01 2.247e-02 2.247e-02 3.180e-02 2.873e-02
7.50 2.698e-01 2.807e-02 2.807e-02 3.642e-02 3.291e-02
8.50 3.391e-01 3.695e-02 3.695e-02 4.578e-02 4.137e-02
9.50 3.555e-01 5.325e-02 5.325e-02 4.800e-02 4.337e-02
11.00 2.159e-01 5.394e-02 5.394e-02 2.915e-02 2.634e-02
13.00 3.637e-01 9.311e-02 9.311e-02 4.910e-02 4.437e-02
15.00 5.331e-01 1.630e-01 1.630e-01 7.197e-02 6.504e-02
17.00 4.496e-01 2.351e-01 2.351e-01 6.069e-02 5.485e-02

Cent 0-20%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 2.292e-01 1.500e-02 1.500e-02 3.094e-02 2.796e-02
6.50 1.900e-01 1.540e-02 1.540e-02 2.566e-02 2.319e-02
7.50 2.320e-01 1.935e-02 1.935e-02 3.132e-02 2.830e-02
8.50 2.783e-01 2.509e-02 2.509e-02 3.757e-02 3.396e-02
9.50 2.781e-01 3.408e-02 3.408e-02 3.755e-02 3.393e-02
11.00 2.251e-01 3.367e-02 3.367e-02 3.039e-02 2.746e-02
13.00 3.384e-01 5.771e-02 5.771e-02 4.569e-02 4.129e-02
15.00 3.041e-01 8.986e-02 8.986e-02 4.106e-02 3.710e-02
17.00 2.810e-01 1.325e-01 1.325e-01 3.793e-02 3.428e-02

Cent 20-40%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 3.921e-01 2.334e-02 2.334e-02 5.293e-02 4.784e-02
6.50 3.850e-01 2.558e-02 2.558e-02 5.197e-02 4.697e-02
7.50 4.112e-01 3.213e-02 3.213e-02 5.551e-02 5.017e-02
8.50 3.615e-01 4.046e-02 4.046e-02 4.881e-02 4.411e-02
9.50 4.769e-01 6.252e-02 6.252e-02 6.439e-02 5.819e-02
11.00 3.332e-01 6.408e-02 6.408e-02 4.498e-02 4.065e-02
13.00 7.002e-01 1.117e-01 1.117e-01 9.453e-02 8.543e-02
15.00 1.565e-01 1.374e-01 1.374e-01 2.112e-02 1.909e-02
17.00 6.333e-01 2.622e-01 2.622e-01 8.550e-02 7.727e-02
19.00 2.109e+00 1.802e+00 1.071e+00 2.848e-01 2.574e-01

Cent 40-60%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 6.499e-01 3.851e-02 3.851e-02 8.774e-02 7.929e-02
6.50 6.678e-01 4.540e-02 4.540e-02 9.015e-02 8.147e-02
7.50 5.446e-01 6.110e-02 6.110e-02 7.352e-02 6.644e-02
8.50 6.544e-01 8.748e-02 8.748e-02 8.834e-02 7.984e-02
9.50 6.957e-01 1.512e-01 1.512e-01 9.392e-02 8.488e-02
11.00 6.879e-01 1.007e-01 1.007e-01 9.287e-02 8.393e-02
13.00 7.874e-01 2.026e-01 2.026e-01 1.063e-01 9.607e-02
15.00 9.966e-01 3.380e-01 3.380e-01 1.345e-01 1.216e-01
17.00 9.608e-01 4.881e-01 4.881e-01 1.297e-01 1.172e-01

Cent 20-60%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 4.519e-01 2.380e-02 2.380e-02 6.101e-02 5.513e-02
6.50 4.469e-01 2.564e-02 2.564e-02 6.033e-02 5.452e-02
7.50 4.412e-01 3.076e-02 3.076e-02 5.957e-02 5.383e-02
8.50 4.266e-01 3.917e-02 3.917e-02 5.760e-02 5.205e-02
9.50 5.535e-01 6.118e-02 6.118e-02 7.472e-02 6.753e-02
11.00 3.794e-01 6.375e-02 6.375e-02 5.122e-02 4.629e-02
13.00 6.952e-01 1.036e-01 1.036e-01 9.385e-02 8.482e-02
15.00 3.601e-01 1.350e-01 1.350e-01 4.862e-02 4.394e-02
17.00 7.049e-01 2.469e-01 2.469e-01 9.516e-02 8.600e-02
19.00 1.566e+00 1.350e+00 8.159e-01 2.114e-01 1.910e-01

Cent 60-92%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 9.956e-01 7.232e-02 7.232e-02 1.344e-01 1.215e-01
6.50 1.031e+00 1.091e-01 1.091e-01 1.392e-01 1.258e-01
7.50 1.075e+00 1.660e-01 1.660e-01 1.451e-01 1.311e-01
8.50 1.180e+00 1.819e-01 1.819e-01 1.592e-01 1.439e-01
9.50 1.174e+00 2.545e-01 2.545e-01 1.585e-01 1.432e-01
11.00 1.488e+00 2.616e-01 2.616e-01 2.009e-01 1.815e-01
13.00 9.241e-01 5.288e-01 5.288e-01 1.248e-01 1.127e-01
17.00 1.961e+00 1.366e+00 1.366e+00 2.647e-01 2.392e-01

Cent 0-92%
pT   RAA       StatErrLo StatErrUp SysErr-B  SysErr-C
5.50 2.969e-01 1.509e-02 1.509e-02 4.008e-02 3.622e-02
6.50 2.686e-01 1.492e-02 1.492e-02 3.626e-02 3.277e-02
7.50 2.908e-01 1.780e-02 1.780e-02 3.926e-02 3.548e-02
8.50 3.000e-01 2.166e-02 2.166e-02 4.050e-02 3.660e-02
9.50 3.402e-01 3.064e-02 3.064e-02 4.592e-02 4.150e-02
11.00 2.728e-01 2.985e-02 2.985e-02 3.682e-02 3.328e-02
13.00 4.702e-01 7.681e-02 7.681e-02 6.348e-02 5.737e-02
15.00 3.160e-01 7.493e-02 7.493e-02 4.266e-02 3.855e-02
17.00 4.238e-01 1.291e-01 1.291e-01 5.721e-02 5.170e-02
19.00 6.935e-01 6.151e-01 3.892e-01 9.362e-02 8.460e-02
