###################################################
# Fig. 3. Invariant pT-spectra in Cu+Au at 200 GeV#
###################################################
#
#### Insert (a): pi0 Invariant pT-Spectra in different centrality intervals of Cu+Au collisions at 200 GeV
#
#p_T (GeV/c)  Inv. Yield ((GeV/c)^{-2})  Stat. + Syst. A          Syst. B          Syst. C  
#Minimum Bias 
!1
        1.25               5.240061e-01     8.666846e-03     2.479332e-02     2.724832e-02  
        1.75               9.060204e-02     1.115351e-03     4.740191e-03     4.711306e-03  
        2.25               1.829509e-02     1.898835e-04     1.072518e-03     9.513445e-04  
        2.75               4.407103e-03     4.225537e-05     2.581354e-04     2.291694e-04  
        3.25               1.253962e-03     1.126056e-05     8.253629e-05     6.520605e-05  
        3.75               3.987261e-04     3.404332e-06     2.938484e-05     2.073376e-05  
        4.25               1.448726e-04     1.207851e-06     1.067845e-05     7.533376e-06  
        4.75               5.801032e-05     4.736954e-07     4.275222e-06     3.016537e-06  
        5.25               2.631398e-05     2.098626e-07     2.159163e-06     1.368327e-06  
        5.75               1.240795e-05     1.008402e-07     1.018136e-06     6.452136e-07  
        6.25               6.331709e-06     5.381894e-08     5.195637e-07     3.292489e-07  
        6.75               3.367263e-06     3.105426e-08     2.762834e-07     1.750977e-07  
        7.25               1.912208e-06     1.914488e-08     1.569121e-07     9.943481e-08  
        7.75               1.099707e-06     1.233181e-08     9.024425e-08     5.718477e-08  
        8.25               6.714349e-07     7.510051e-09     6.167950e-08     3.491461e-08  
        8.75               4.230109e-07     5.056911e-09     3.911104e-08     2.199657e-08  
        9.25               2.634574e-07     3.676483e-09     2.422498e-08     1.369978e-08  
        9.75               1.823898e-07     2.682878e-09     1.681249e-08     9.484268e-09  
          11               6.783677e-08     7.071644e-10     6.902185e-09     3.527512e-09  
          13               1.905459e-08     3.417906e-10     2.027787e-09     9.908388e-10  
          15               6.200235e-09     1.860336e-10     6.983485e-10     3.224122e-10  
          17               2.223254e-09     1.168828e-10     2.759450e-10     1.156092e-10  
          19               8.200898e-10     7.705774e-11     1.104382e-10     4.264467e-11  
#  0-10%
!2 
        1.25               1.557483e+00     4.765460e-02     7.773346e-02     8.098910e-02  
        1.75               2.721961e-01     6.336102e-03     1.487183e-02     1.415420e-02  
